job_title,company_name,location,,publish_date,job_link
AI-Enhanced Full Stack Developer,Zyntra Digital -,"Hadayek Alahram, Giza, Egypt",,2 days ago,https://wuzzuf.net/jobs/p/clpvm3suftcy-ai-enhanced-full-stack-developer-zyntra-digital-giza-egypt
ASP.NET Developer (AI-Assisted Development),Roaya -,"Maadi, Cairo, Egypt",,4 days ago,https://wuzzuf.net/jobs/p/ngiyyzjuivcv-aspnet-developer-ai-assisted-development-roaya-cairo-egypt
Ai Video Editor -Tiktok,Confidential -,"Tangier, Morocco",,6 days ago,https://wuzzuf.net/jobs/p/yhtsymbrjgea-ai-video-editor-tiktok-tangier-morocco
IT Infrastructure & AI Solutions Engineer,Fakeeh University Hospital -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/xegytbdg5vmn-it-infrastructure-ai-solutions-engineer-fakeeh-university-hospital-cairo-egypt
QA / Software Test Engineer (AI-Augmented Testing),Roaya -,"Maadi, Cairo, Egypt",,4 days ago,https://wuzzuf.net/jobs/p/chum6imspe0e-qa-software-test-engineer-ai-augmented-testing-roaya-cairo-egypt
AI Specialist,EMIRATES BARQ -,"Sharjah, United Arab Emirates",,6 days ago,https://wuzzuf.net/jobs/p/ktob1xirnsn5-ai-specialist-emirates-barq-alshark-alamarat-alaarby-almthd
AI Creative Producer & Video Creator,tech technology -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/wvkn2zzy9rq9-ai-creative-producer-video-creator-tech-technology-cairo-egypt
Artificial Intelligence (AI) Engineer | Alexandria | On-site,WUZZUF -,"Alexandria, Egypt",,N/A,https://wuzzuf.net/jobs/p/tgl7mn1nk6bw-artificial-intelligence-ai-engineer-alexandria-on-site-wuzzuf-alexandria-egypt
Artificial Intelligence (AI) Engineer | Alexandria | On-site,Akwad -,"Alexandria, Egypt",,N/A,https://wuzzuf.net/jobs/p/mac5ilzaxfvk-artificial-intelligence-ai-engineer-alexandria-on-site-akwad-alexandria-egypt
Senior AI Engineer,LavaLoon -,"Nasr City, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/ioh4wrztmipe-senior-ai-engineer-lavaloon-cairo-egypt
Ai visual producer \ AI Video Creator,Core Wave Agency -,"Riyadh, Saudi Arabia",,N/A,https://wuzzuf.net/saudi/jobs/p/fvb6pqcelrgc-ai-visual-producer-ai-video-creator-core-wave-agency-riyadh-saudi-arabia
AI Content Creator,YZH -,"New Cairo, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/pcw3bhsjcsfr-ai-content-creator-yzh-cairo-egypt
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/mvgfy3hj4s4u-data-scientist-and-machine-learning-engineer-applied-ai-knowledge-sharing-epsilonai-cairo-egypt
AI/ML Backend Engineer (Junior - Mid-Level),qartas -,"New Capital, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/xy9ldbdi1h5d-aiml-backend-engineer-junior-mid-level-qartas-alkahr-msr
AI Specialist / AI Engineer,tech technology -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/etepim3qc4q5-ai-specialist-ai-engineer-tech-technology-cairo-egypt
Landscape Engineer (Swimming Pool & Outdoor Services),Gulf Data International -,"New Cairo, Cairo, Egypt",,6 days ago,https://wuzzuf.net/jobs/p/ivdx60xn76up-landscape-engineer-swimming-pool-outdoor-services-gulf-data-international-cairo-egypt
Finance Data Entry Assistant..,Meam -,"Tripoli, Libya",,N/A,https://wuzzuf.net/jobs/p/z1hmtgt5pezl-finance-data-entry-assistant-meam-tripoli-libya
Data Entry Specialist,CASA SANCHO -,"Shubra Alkhaymah, Qalubia, Egypt",,N/A,https://wuzzuf.net/jobs/p/rx56vyu8rn4q-data-entry-specialist-casa-sancho-qalubia-egypt
Customer Data Operations Specialist,Confidential -,"New Cairo, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/corczmjni4hq-customer-data-operations-specialist-cairo-egypt
Design Data Entry (Night Shift),K Line Europe -,"Nasr City, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/se6dqv7xeipc-design-data-entry-night-shift-k-line-europe-cairo-egypt
Data Analysis Accountant,ARX Developments -,"Cairo, Egypt",,6 days ago,https://wuzzuf.net/jobs/p/9q3doz3ruf6i-data-analysis-accountant-arx-developments-cairo-egypt
Data Entry Specialist,Casita -,"Dokki, Giza, Egypt",,N/A,https://wuzzuf.net/internship/fu2xxniekwjl-data-entry-specialist-casita-giza-egypt
Senior Data Scientist,Egabi FSI -,"Sheraton, Cairo, Egypt",,7 days ago,https://wuzzuf.net/jobs/p/wnkrfzbsaqkn-senior-data-scientist-egabi-fsi-cairo-egypt
Data Protection Officer,Linrco Egypt -,"Nasr City, Cairo, Egypt",,8 days ago,https://wuzzuf.net/jobs/p/awwzbm3mliwh-data-protection-officer-linrco-egypt-cairo-egypt
Customer Service & Data Entry,Arab Co. For Trading and Agencies -,"Mohandessin, Giza, Egypt",,N/A,https://wuzzuf.net/jobs/p/iegetek9o3cx-customer-service-data-entry-arab-co-for-trading-and-agencies-giza-egypt
Data Entry Specialist,FRIDAL -,"6th of October, Giza, Egypt",,N/A,https://wuzzuf.net/jobs/p/prru0y6rudaj-data-entry-specialist-fridal-giza-egypt
Middle Data Engineer,Vertex Technologies -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/ty2lstcgv8oc-middle-data-engineer-vertex-technologies-cairo-egypt
Senior Data Scientist,Vertex Technologies -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/vpaaar4omgql-senior-data-scientist-vertex-technologies-cairo-egypt
Middle Data Scientist,Vertex Technologies -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/qltggsu08cr9-middle-data-scientist-vertex-technologies-cairo-egypt
Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/g68cxryziz37-senior-data-engineer-vertex-technologies-cairo-egypt
Software Sales,Simple Touch Software -,"Maadi, Cairo, Egypt",,5 hours ago,https://wuzzuf.net/jobs/p/ewyebez9zx1w-software-sales-simple-touch-software-cairo-egypt
MTS Enterprise Annual Bootcamp Software Development,MTS-IT -,"Maadi, Cairo, Egypt",,12 hours ago,https://wuzzuf.net/internship/ecydfyj1hauh-mts-enterprise-annual-bootcamp-software-development-mts-it-cairo-egypt
Mid-Level Software Tester,Expert Apps -,"Maadi, Cairo, Egypt",,5 days ago,https://wuzzuf.net/jobs/p/r07ndxp3ucmg-mid-level-software-tester-expert-apps-cairo-egypt
Technical Software Project Leader ? Full Stack .NET,IKEN Technology -,"Maadi, Cairo, Egypt",,6 days ago,https://wuzzuf.net/jobs/p/qqs01xbe83qp-technical-software-project-leader-full-stack-net-iken-technology-cairo-egypt
Senior Embedded Software Engineer,drivenBit -,"Karlsruhe, Germany",,5 days ago,https://wuzzuf.net/jobs/p/iv1mfrsl4aym-senior-embedded-software-engineer-drivenbit-karlsruhe-germany
Software Sales Account Manager,Ark-Technology -,"Shubra, Cairo, Egypt",,8 days ago,https://wuzzuf.net/jobs/p/raexbzkz26jg-software-sales-account-manager-ark-technology-cairo-egypt
Senior Software Developer - Java,Confidential -,"Heliopolis, Cairo, Egypt",,8 days ago,https://wuzzuf.net/jobs/p/4kie09hzen1b-senior-software-developer-java-cairo-egypt
B2B Software Sales Agent,Tamkeen -,"Heliopolis, Cairo, Egypt",,6 days ago,https://wuzzuf.net/jobs/p/n5cb88bsokqp-b2b-software-sales-agent-tamkeen-cairo-egypt
Senior Software Quality Control Engineer,BI-Technologies -,"New Cairo, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/twqjbympa7ng-senior-software-quality-control-engineer-bi-technologies-cairo-egypt
Software Sales Specialist,Confidential -,"Agami, Alexandria, Egypt",,N/A,https://wuzzuf.net/jobs/p/ba2ukjeohpnj-software-sales-specialist-alexandria-egypt
Software Business Analyst,Softec Technologies -,"Maadi, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/684ea4a4fgvg-software-business-analyst-softec-technologies-cairo-egypt
Software and Technology Sales Executive,Objects -,"Alexandria, Egypt",,N/A,https://wuzzuf.net/jobs/p/9bvalt761ihr-software-and-technology-sales-executive-objects-alexandria-egypt
Senior - Staff IOS Native Software Engineer,Expiwell -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/moryxmkigyss-senior-staff-ios-native-software-engineer-expiwell-cairo-egypt
"Software Test Engineer (Manual & Automation) (Full-Time, Remote)",iBrokerage Ltd. -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/fvkonzjsa5li-software-test-engineer-manual-automation-full-time-remote-ibrokerage-ltd-cairo-egypt
Security Manager- Facility Management,Horizon Operation and Management -,"New Capital, Cairo, Egypt",,8 days ago,https://wuzzuf.net/jobs/p/rjgfw633rpgg-security-manager-facility-management-horizon-operation-and-management-cairo-egypt
Security Officer,Spinneys Egypt -,"Maadi, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/dmf8vsvyfms9-security-officer-spinneys-egypt-cairo-egypt
IT Senior System & Security Engineer,Dreem Mashreq Foods -,"Smouha, Alexandria, Egypt",,N/A,https://wuzzuf.net/jobs/p/0xz6xfngyuwz-it-senior-system-security-engineer-dreem-mashreq-foods-alexandria-egypt
Network And Security Engineer,Roaya -,"Maadi, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/zakygj66lldw-network-and-security-engineer-roaya-cairo-egypt
Cyber Security (SOC) Instructor,Route ?Academy -,"Dokki, Giza, Egypt",,N/A,https://wuzzuf.net/jobs/p/ghepr48cvkyv-cyber-security-soc-instructor-route-academy-giza-egypt
Network & Security Manager,Tamweely -,"Downtown, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/5fkljpfiugjp-network-security-manager-tamweely-cairo-egypt
Cyber Security Consultant L2,Fixed Solutions -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/ipvkes7dtxeg-cyber-security-consultant-l2-fixed-solutions-cairo-egypt
???? ???,???? ????? ??????? ???????? ??????? -,"Jubail, Saudi Arabia",,13 hours ago,https://wuzzuf.net/saudi/jobs/p/tclbahvkep6s-mothf-amn-shrk-artal-almohd-llhrasat-alamny-jubail-saudi-arabia
Network & Security Engineer,Al Watania Poultry -,"Smart Village, Giza, Egypt",,N/A,https://wuzzuf.net/jobs/p/x8jhvp8lrbcv-network-security-engineer-al-watania-poultry-giza-egypt
Technical Sales Engineer (Physical Security),TTC Technologies -,"Heliopolis, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/99havkpm5z8m-technical-sales-engineer-physical-security-ttc-technologies-cairo-egypt
Sales Director ? Light Current & Security Systems,C&CC -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/yk5yngsgfyz9-sales-director-light-current-security-systems-ccc-cairo-egypt
Security-System Engineer,ALAHMED -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/q6j0sejfgbqk-security-system-engineer-alahmed-cairo-egypt
Application Security Engineer/Penetration Tester,Vertex Technologies -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/geuoneusugnu-application-security-engineerpenetration-tester-vertex-technologies-cairo-egypt
Network & Security Engineer,Nile University -,"Sheikh Zayed, Giza, Egypt",,N/A,https://wuzzuf.net/jobs/p/srdpro03nao0-network-security-engineer-nile-university-giza-egypt
Sales Manager - Fire & Security Systems,Confidential -,"Giza, Giza, Egypt",,N/A,https://wuzzuf.net/jobs/p/n7b607w65jch-sales-manager-fire-security-systems-giza-egypt
